facility_id,path_p,path_q,abs_diff_ship_term,abs_diff_premium_term,abs_diff_U_fp,abs_diff_R_fp
1,1,2,0.45235477188527984,15.078492396175996,22.342990343859192,0.00025837680903055093
1,1,3,0.11426652632981593,3.8088842109938597,15.493223785729093,0.002517714548871383
1,1,4,0.10339382632040928,3.446460877346979,75.18270096540272,0.0048126317379251346
1,1,5,0.9177012459022235,30.590041530074117,87.2227013482287,0.0004057872259116931
1,1,6,883.838929171954,9.074983638635672,145.4522805469177,0.011295498360958816
1,1,7,0.017302067863574022,0.5767355954524689,107.5864972346597,0.0016890305364513911
1,1,8,0.016346146573337217,0.544871552444576,112.1309063334997,0.001097435171324895
1,1,9,0.8718872614385633,29.062908714618786,82.73851232568671,0.0008208932706076798
1,1,10,0.4368196493915346,14.560654979717825,103.99685137098871,0.004776291418144655
1,2,3,0.5666212982150958,18.887376607169855,6.849766558130099,0.0022593377398408324
1,2,4,0.34896094556487056,11.632031518829017,52.83971062154352,0.004554254928894583
1,2,5,0.4653464740169436,15.511549133898122,64.8797110043695,0.00014741041688114218
1,2,6,884.2912839438393,24.153476034811668,123.1092902030585,0.011037121551928264
1,2,7,0.4350527040217058,14.501756800723527,85.2435068908005,0.0014306537274208402
1,2,8,0.46870091845861706,15.623363948620572,89.7879159896405,0.000839058362294344
1,2,9,0.41953248955328354,13.984416318442788,60.395521981827514,0.0005625164615771288
1,2,10,0.015535122493745224,0.5178374164581712,81.65386102712951,0.004517914609114104
1,3,4,0.2176603526502252,7.255345088340839,59.68947717967362,0.0022949171890537514
1,3,5,1.0319677722320395,34.39892574106798,71.7294775624996,0.0021119273229596902
1,3,6,883.7246626456242,5.266099427641812,129.9590567611886,0.008777783812087433
1,3,7,0.13156859419338995,4.3856198064463285,92.0932734489306,0.0008286840124199922
1,3,8,0.09792037975647871,3.2640126585492837,96.6376825477706,0.0014202793775464884
1,3,9,0.9861537877683793,32.871792925612645,67.24528853995761,0.0016968212782637036
1,3,10,0.5510861757213505,18.369539190711684,88.50362758525961,0.0022585768692732723
1,4,5,0.8143074195818142,27.143580652727138,12.04000038282598,0.004406844512013442
1,4,6,883.9423229982744,12.521444515982651,70.26957958151499,0.0064828666230336805
1,4,7,0.08609175845683525,2.8697252818945103,32.403796269256986,0.0031236012014737437
1,4,8,0.1197399728937465,3.991332429791555,36.94820536809698,0.00371519656660024
1,4,9,0.768493435118154,25.616447837271807,7.555811360283997,0.0039917384673174554
1,4,10,0.33342582307112534,11.114194102370845,28.81415040558599,3.634031978047916e-05
1,5,6,884.7566304178563,39.66502516870979,58.22957919868901,0.010889711135047123
1,5,7,0.9003991780386494,30.01330593462165,20.363795886431006,0.001283243310539698
1,5,8,0.9340473924755607,31.134913082518693,24.908204985271,0.0006916479454132018
1,5,9,0.045813984463660085,1.5271328154553334,4.484189022541983,0.00041510604469598665
1,5,10,0.48088159651068885,16.029386550356293,16.77415002276001,0.004370504192232963
1,6,7,883.8562312398176,9.65171923408814,37.865783312258,0.009606467824507425
1,6,8,883.8225830253807,8.530112086191096,33.32137421341801,0.01019806318963392
1,6,9,884.7108164333926,38.13789235325446,62.71376822123099,0.010474605090351136
1,6,10,884.2757488213456,23.635638618353497,41.455429175929,0.00651920694281416
1,7,8,0.03364821443691124,1.1216071478970449,4.544409098839992,0.0005915953651264962
1,7,9,0.8545851935749893,28.486173119166317,24.84798490897299,0.0008681372658437114
1,7,10,0.4195175815279606,13.983919384265356,3.589645863670995,0.0030872608816932645
1,8,9,0.8882334080119005,29.60778026706336,29.39239400781298,0.00027654190071721516
1,8,10,0.45316579596487183,15.1055265321624,8.134054962510987,0.0036788562468197607
1,9,10,0.43506761204702876,14.50225373490096,21.258339045301994,0.003955398147536976
2,1,2,0.7505554022316281,25.018513407720924,0.8709489664169041,0.0011142163234917988
2,1,3,0.36864057939491257,12.288019313163744,35.46310279762909,0.0016567863594730758
2,1,4,0.6101508452016358,20.338361506721192,4.567125508772506,0.003330706007875432
2,1,5,0.0980318357029124,3.2677278567637416,0.003045925152193263,0.0018992780732548648
2,1,6,0.19380505830453576,6.460168610151198,17.1674583801921,0.000284015089719068
2,1,7,0.24811212975739239,8.270404325246407,111.54544302986811,0.0055344570647765075
2,1,8,0.41442403697334784,13.814134565778268,139.35231678435707,3.5263603148537846e-05
2,1,9,0.6167247494760013,20.55749164920004,24.849181578527094,0.004833374252813079
2,1,10,0.35216960610080283,11.738986870026757,131.5115254977871,0.005787097257211378
2,2,3,0.3819148228367155,12.73049409455718,36.334051764045995,0.000542570035981277
2,2,4,0.14040455702999233,4.680151900999732,3.6961765423556017,0.0022164896843836334
2,2,5,0.6525235665287157,21.750785550957183,0.8739948915690974,0.000785061749763066
2,2,6,0.9443604605361638,31.478682017872124,18.038407346609006,0.0013982314132108668
2,2,7,0.5024432724742357,16.748109082474517,112.41639199628501,0.004420240741284709
2,2,8,1.164979439204976,38.83264797349919,140.22326575077398,0.001078952720343261
2,2,9,0.13383065275562678,4.461021758520886,25.720130544944,0.0037191579293212804
2,2,10,0.39838579613082525,13.279526537694167,132.382474464204,0.004672880933719579
2,3,4,0.2415102658067232,8.050342193557448,40.0302283064016,0.0016739196484023564
2,3,5,0.27060874369200016,9.020291456400003,35.4600568724769,0.00024249171378178894
2,3,6,0.5624456376994483,18.748187923314944,18.29564441743699,0.0019408014491921438
2,3,7,0.12052844963752019,4.017614987917337,76.08234023223902,0.0038776707053034317
2,3,8,0.7830646163682604,26.102153878942012,103.889213986728,0.001621522756324538
2,3,9,0.24808417008108874,8.269472336036294,10.613921219101996,0.0031765878933400033
2,3,10,0.016470973294109736,0.5490324431369871,96.04842270015801,0.004130310897738302
2,4,5,0.5121190094987234,17.07063364995745,4.570171433924699,0.0014314279346205674
2,4,6,0.8039559035061715,26.798530116872392,21.734583888964607,0.0036147210975945
2,4,7,0.3620387154442434,12.067957181474785,116.11256853864062,0.0022037510569010753
2,4,8,1.0245748821749836,34.15249607249946,143.91944229312958,0.0032954424047268943
2,4,9,0.00657390427436555,0.21913014247884632,29.4163070872996,0.001502668244937647
2,4,10,0.2579812391008329,8.599374636694435,136.0786510065596,0.0024563912493359456
2,5,6,0.29183689400744817,9.72789646691494,17.16441245503991,0.0021832931629739327
2,5,7,0.15008029405447998,5.002676468482665,111.54239710471592,0.0036351789915216428
2,5,8,0.5124558726762602,17.08186242254201,139.3492708592049,0.001864014470106327
2,5,9,0.5186929137730889,17.289763792436297,24.8461356533749,0.0029340961795582144
