experiment,param,value,multiplier,status,objective,system_risk
insurance,A0,25000000.0,0.5,2,66275882.21097247,1141.7010558638244
insurance,A0,37500000.0,0.75,2,68150004.931216,1141.9275609734323
insurance,A0,50000000.0,1.0,2,70023567.82358222,1139.4348590812217
insurance,A0,62500000.0,1.25,2,71884343.1729677,1124.0343998049673
insurance,A0,75000000.0,1.5,2,73744563.25159596,1121.877123928118
