experiment,param,value,status,objective,sys_risk,active_paths,max_corr_util
insurance,P_fp,1,2,70023567.82358222,1139.4348590812217,160,0.9105736867239
insurance,P_fp,10,2,138622856.69741789,1129.397911979784,161,0.9582310824109107
insurance,P_fp,50,2,442328499.2405592,1094.1324678080823,160,0.935095984378657
insurance,P_fp,100,2,821906581.1711402,1094.132750261827,160,0.935095984378657
