experiment,param,value,status,objective,ops_cost,premium_cost,uninsured_cost,sys_risk,sys_risk_util,max_corr_util,active_paths
diversification,PHI,0.2,3,,,,,,,,
diversification,PHI,0.25,2,68391181.41448644,63077034.83822693,5061091.977390002,253054.5988695001,1166.7339228154542,0.8990471464916144,0.999997968931056,191.0
diversification,PHI,0.3,2,67025679.07308991,62301863.16499921,4498872.29341971,224943.6146709855,1139.560786643525,0.8781084131104431,0.9089682204878532,160.0
diversification,PHI,0.4,2,64525715.32230363,60514043.59765578,3820639.7377598546,191031.98688799274,945.2974854868766,0.7284154427102405,0.9853397414397922,121.0
diversification,PHI,0.5,2,62681915.88651107,59079132.96127939,3431221.8335539866,171561.09167769935,908.7531963917074,0.7002556042165643,0.9999704358184087,98.0
